MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,GS,702GS2031,GOI LOAN  7.02% 2031,       102.85,       102.10,       104.00,       102.10,       103.25,                   959373.80,9288,N, ,5,       109.00,       100.26
N,GS,706GS2028,GOI LOAN  7.06% 2028,       101.84,       101.85,       101.85,       101.85,       101.85,                   183330.00,1800,N, ,3,       107.70,       100.30
N,GS,706GS2046,GOI LOAN 7.06% 2046,        97.60,       100.00,       100.00,        97.80,        97.80,                    78875.60,802,N, ,7,       106.25,        94.00
N,GS,709GS2054,GOI LOAN  7.09% 2054,        95.30,        95.93,        96.70,        95.90,        95.93,                  3410214.54,35545,N, ,28,       106.30,        94.00
N,GS,709GS2074,GOI LOAN   7.09% 2074,        93.00,        93.40,        93.60,        92.80,        93.37,                  3434957.60,36751,N, ,86,       105.69,        92.31
N,GS,710GS2029,GOI LOAN 7.10% 2029,       103.52,       103.50,       103.75,       103.50,       103.75,                   465894.50,4500,N, ,7,       108.54,        98.94
N,GS,718GS2037,GOI LOAN  7.18% 2037,       102.95,       101.70,       103.15,       101.70,       103.10,                  2097762.50,20350,N, ,5,       109.68,        99.12
N,GS,71GS2034,GOI LOAN  7.1% 2034,       102.00,        99.51,        99.51,        99.51,        99.51,                    14926.50,150,N, ,2,       106.89,        99.51
N,GS,723GS2039,GOI LOAN  7.23% 2039,       100.00,        99.50,        99.50,        99.50,        99.50,                     9950.00,100,N, ,1,       108.25,        98.61
N,GS,724GS2055,GOI LOAN  7.24% 2055,        97.45,        97.40,        98.00,        97.30,        97.80,                  3125696.38,31972,N, ,26,       103.80,        94.30
N,GS,725GS2063,GOI LOAN  7.25% 2063,        98.00,        98.40,        98.59,        98.00,        98.28,                  9149512.49,93062,N, ,50,       109.00,        96.21
N,GS,726GS2032,GOI LOAN  7.26% 2032,       103.00,       103.50,       103.50,       103.50,       103.50,                   207000.00,2000,N, ,1,       112.00,        95.83
N,GS,732GS2030,GOI LOAN  7.32% 2030,       102.84,       100.72,       103.00,       100.72,       102.90,                   133444.00,1300,N, ,5,       109.90,       100.72
N,GS,733GS2026,GOI LOAN  7.33% 2026,       100.50,       100.50,       101.29,       100.50,       100.55,                    20508.94,204,N, ,5,       105.57,        98.54
N,GS,734GS2064,GOI LOAN  7.34% 2064,        96.72,        96.90,        97.24,        96.68,        97.18,                 10973719.00,113113,N, ,71,       109.45,        95.14
N,GS,737GS2028,GOI LOAN  7.37% 2028,       101.90,       101.90,       101.90,       101.50,       101.63,                  4646422.70,45704,N, ,23,       107.70,       101.06
N,GS,738GS2027,GOI LOAN 7.38% 2027,       104.09,       104.00,       104.40,       104.00,       104.40,                   325402.06,3124,N, ,8,       108.40,       100.35
N,GS,73GS2053,GOI LOAN  7.3% 2053,        99.40,        99.40,        99.40,        99.40,        99.40,                    12027.40,121,N, ,1,       110.04,        97.20
N,GS,741GS2036,GOI LOAN  7.41% 2036,       105.00,       104.05,       106.19,       104.05,       105.66,                  3320114.28,31464,N, ,20,       112.50,       101.88
N,GS,743GS2076,GOI LOAN  7.43% 2076,        99.89,       100.38,       100.38,        99.50,       100.20,                  1567800.35,15651,N, ,13,       103.00,        98.00
N,GS,746GS2073,GOI LOAN  7.46% 2073,        98.98,        98.98,        98.98,        98.98,        98.98,                     9799.02,99,N, ,1,       111.00,        97.25
N,GS,74GS2035,GOI LOAN 7.40% 2035,       101.35,       103.00,       103.00,       103.00,       103.00,                   103000.00,1000,N, ,1,       109.85,        99.34
N,GS,74GS2062,GOI LOAN  7.4% 2062,       101.00,       101.99,       101.99,        99.10,       101.36,                     1319.00,13,N, ,4,       109.00,        96.20
N,GS,754GS2036,GOI LOAN  7.54% 2036,       103.89,       103.90,       104.24,       103.82,       104.15,                 55846692.66,536235,N, ,170,       113.53,       103.02
N,GS,762GS2039,GOI LOAN 7.62% 2039,       103.17,       103.50,       103.50,       103.50,       103.50,                    51750.00,500,N, ,1,       111.45,       103.16
N,GS,771GS2066,GOI LOAN  7.71% 2066,       102.00,       100.75,       100.75,       100.75,       100.75,                    10075.00,100,N, ,1,       102.15,        99.00
N,GS,772GS2055,GOI LOAN 7.72% 2055,       100.40,       100.50,       100.50,       100.50,       100.50,                     2613.00,26,N, ,1,       117.58,       100.40
N,GS,824GS2027,GOI LOAN 8.24%2027,       106.18,       103.95,       103.95,       103.95,       103.95,                     3014.55,29,N, ,1,       110.39,        97.65
N,GS,826GS2027,GOI LOAN 8.26% 2027,       104.37,       104.37,       105.00,       104.37,       105.00,                     1994.37,19,N, ,2,       108.91,       102.41
N,GS,92GS2030,GOI LOAN 9.20% 2030,       110.25,       110.70,       110.70,       110.25,       110.35,                   380860.70,3450,N, ,8,       123.00,       107.50
N,N0,1025VCCL28,VCCL 10.25% 2028,     96300.00,     96934.89,     96934.89,     96934.89,     96934.89,                   387739.56,4,N, ,2,     98314.40,     90300.00
N,N0,1075WCAP28,WCAPL 10.75% 2028,     98266.35,     98099.99,     98099.99,     98099.99,     98099.99,                    98099.99,1,N, ,1,     98817.90,     81000.00
N,N0,115VCCL28A,VCCL28A 11.5% 2028,     99450.00,     95001.01,     98000.00,     95000.00,     98000.00,                   965001.01,10,N, ,6,    101000.00,     86000.00
N,N0,115VCCL31A,VCCL31A 11.5% 2031,      9700.00,      9700.00,      9749.00,      9700.00,      9700.00,                   699478.00,72,N, ,8,      9887.81,      9600.00
N,N0,118VCCL27B,VCCL 11.8% 2027 SR B,     98499.00,     98501.01,     98501.01,     98501.01,     98501.01,                    98501.01,1,N, ,1,    102000.00,     97000.00
N,N0,11MCS27,MCS 11% 2027,     10000.00,     10000.00,     10000.00,     10000.00,     10000.00,                    60000.00,6,N, ,2,     10000.00,     10000.00
N,N0,1225IFL27,IFL 12.25% 2027,      9001.00,      9001.11,      9001.11,      9001.00,      9001.00,                   162018.99,18,N, ,3,     10980.00,      7875.00
N,N0,1225IFL28,IFL 12.25% 2028,      9001.12,      9001.11,      9001.11,      9001.00,      9001.00,                    54006.44,6,N, ,2,      9900.00,      7995.00
N,N0,125VCCL31,VCCL 12.5% 2031,     96397.00,     96500.00,     96500.00,     96500.00,     96500.00,                    96500.00,1,N, ,1,     97900.00,     76800.00
N,N0,12AFIL27A,AFIL 12% 2027,      9708.00,      9920.00,      9920.00,      9920.00,      9920.00,                    39680.00,4,N, ,1,     10050.00,      8602.00
N,N0,12VCCL29B,VCCL 12% 2029,     99000.00,     98551.01,     98551.01,     98551.01,     98551.01,                   295653.03,3,N, ,1,    102000.00,     89900.00
N,N0,925ISF28,ISF 9.25% 2028,      9731.00,      9854.99,      9854.99,      9854.99,      9854.99,                    29564.97,3,N, ,1,     10033.00,      7751.00
N,N0,930APMD34,APMDC 9.30% 2034 STRPP H,    105500.00,    106000.00,    106000.00,    106000.00,    106000.00,                  1060000.00,10,N, ,2,    106868.00,    100663.00
N,N0,935TSI27,TSI 9.35% 27 SR I-A,    101900.00,    101900.00,    101900.00,    101900.00,    101900.00,                   407600.00,4,N, ,1,    102700.00,    100487.02
N,N0,935TSI31,TSI 9.35% 31 SR I-E,    105011.00,    105391.92,    105570.92,    105391.92,    105570.92,                  2213409.32,21,N, ,2,    119001.00,    101621.99
N,N0,950ISF27C,ISF 9.50% 2027,      9875.00,      9965.90,      9965.90,      9965.90,      9965.90,                    59795.40,6,N, ,2,     10499.99,      9321.00
N,N0,950SCL30,SCL 9.50% 2030 SR I,    100000.00,    101334.40,    101334.40,    101334.40,    101334.40,                 10133440.00,100,N, ,2,    101334.40,    101334.40
N,N0,960SCL35,SCL 9.60% 2035,    100000.00,    102600.00,    102600.00,    102600.00,    102600.00,                   102600.00,1,N, ,1,    102600.00,    102600.00
N,N0,965SCL25C,SEC RE NCD 9.39% SR.VIII,       531.00,       500.00,       500.00,       500.00,       500.00,                   128000.00,256,N, ,5,       659.10,       375.10
N,N0,975ISF28,ISF 9.75% NCD 2028,     96001.01,     96001.01,     96500.00,     96001.01,     96001.50,                   674502.51,7,N, ,4,    107698.99,     86000.00
N,N0,975SCL35,SCL 9.75% 2035 SR II,    108000.00,    102800.00,    102800.00,    102800.00,    102800.00,                   514000.00,5,N, ,1,    108000.00,     90500.00
N,N1,1015SCL29B,SEC RE NCD 10.15% SR VII,      1038.31,      1065.15,      1065.15,      1065.15,      1065.15,                    74560.50,70,N, ,2,      1065.15,       970.00
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,      1002.23,      1000.00,      1005.00,      1000.00,      1000.00,                    93250.00,93,N, ,8,      1099.00,       950.00
